transcription,tp,tn,fp,fn,wv,
Arete,36,123,0,39,1,
Reloj,24,153,0,62,6,
Cadena,69,144,12,14,16,
Gafas,29,171,0,19,10,
Anillo,48,144,0,47,14,
Pollo,37,146,0,15,18,
Pepino,0,0,0,0,0,
Miedo,68,230,2,124,54,
Odio,71,109,0,39,36,
Jugo,0,0,0,0,0,
Leche,40,118,5,35,32,
Limonada,65,157,0,120,17,
Estudiante,93,152,0,15,74,
Conductor,72,222,1,149,23,
Chef,24,203,0,63,0,
Odontólogo,0,0,0,0,0,
Pintor,38,214,0,8,34,
Familia,92,143,27,28,30,
Papá,0,0,0,0,0,
Hermana,66,271,0,46,1,
Abuela,95,269,0,19,29,
Amiga,52,102,2,42,3,
Novia,57,83,0,161,22,
Esposo,0,0,0,0,0,
Nieta,58,110,6,106,39,
Borrador,80,152,0,28,23,
Cuaderno,56,206,0,39,36,
Maletín,0,0,0,0,0,
Baloncesto,82,268,1,93,28,
Voleibol,0,0,0,0,0,
Gimnasio,82,183,0,15,63,
Droguería,0,0,0,0,0,
Trabajo,94,217,0,82,15,
Cocina,66,80,4,130,25,
Ojo,53,160,0,6,3,
Boca,41,128,12,17,1,
Oreja,72,156,0,93,8,
Cabello,59,221,0,82,36,
Manos,38,101,0,59,27,
Piernas,0,0,0,0,0,
Cinco,76,183,0,42,61,
Seis,31,169,0,19,23,
Ocho,84,159,3,75,56,
Cuadrado,308,120,12,4,234,
Rectángulo,0,0,0,0,0,
Perro Caliente,0,0,0,0,0,
Pizza,33,192,4,92,9,
Arroz,50,199,0,113,0,
Arepa,80,170,0,153,5,
Naranja,61,170,0,8,1,
Mora,52,166,0,21,3,
Banano,47,199,0,34,22,
Lulo,70,306,0,27,29,
Flaco,55,190,11,24,31,
Abajo,80,142,0,99,15,
Lejos,39,125,0,96,5,
Rápido,0,0,0,0,0,
Lento,54,159,0,6,19,
Menor,72,120,0,27,10,
Día del Niño,0,0,0,0,0,
Halloween,65,201,0,35,37,
Día del Profesor,0,0,0,0,0,
Color,39,203,0,18,32,
Verde,37,219,0,45,4,
Naranja,60,139,0,30,0,
Violeta,54,129,0,138,20,
Negro,73,233,0,15,36,
Blanco,44,267,0,31,9,
Jugar,61,122,0,15,21,
Minuto,78,203,5,117,48,
Día,0,0,0,0,0,
Junio,97,252,2,93,82,
Septiembre,72,302,0,19,5,
Lunes,45,188,0,109,39,
Miércoles,0,0,0,0,0,
Viernes,33,149,2,76,21,
Tarde,59,145,2,54,26,
Buenos días,0,0,0,0,0,
Pantalón,0,0,0,0,0,
Zapato,72,165,3,20,13,
Pantaloneta,72,222,0,26,23,
WhatsApp,85,208,0,110,44,
Gallina,72,101,19,37,50,
Pato,19,93,10,76,14,
Cerdo,47,290,0,46,4,
León,0,0,0,0,0,
Tigre,26,96,0,35,10,
Caballo,118,31,8,0,84,
Pez,0,0,0,0,0,
Ratón,0,0,0,0,0,
Mico,39,243,0,80,18,
Oveja,61,206,4,50,6,
Pájaro,0,0,0,0,0,
Jirafa,106,290,0,48,30,
Caracol,55,231,0,15,6,
Moto,57,139,0,23,5,
Aretes,43,149,0,68,0,
Reloj,25,128,0,4,18,
Gafas,29,167,0,64,7,
Pulsera,93,275,0,76,45,
GLOBAL,4885,13691,157,4208,2004,0.396364587419903
